Make,Model,Year,Color,Mileage,Transmission,Fuel,Price,Location,Date,URL
Mazda,CX-7,2008,,107000,Automatique,Essence,"4 500 000
FCFA",Riviera,05/07,https://media.jumiadeals.com/ci_live/98f53d394f5f0247843c223.desktop-gallery-large.jpg
Renault,Laguna,2001,,177000,Automatique,Essence,"1 589 000
FCFA",Yopougon,06/07,https://media.jumiadeals.com/ci_live/a13592e1325f030f6e25a52.desktop-gallery-large.jpg
Land rover,Range Rover,2014,,65000,Automatique,Diesel,"27 500 000
FCFA",2 Plateaux,07/07,https://media.jumiadeals.com/ci_live/58f70263c95f03c4ed828e6.desktop-gallery-large.jpg
Peugeot,407,2005,,42000,Automatique,Essence,"4 000 000
FCFA",Angré,07/07,https://media.jumiadeals.com/ci_live/f9e7fcbfdc5f03c27bb81ae.desktop-gallery-large.jpg
Audi,Q5,2011,,145000,Automatique,Essence,"7 000 000
FCFA",Angré,07/07,https://media.jumiadeals.com/ci_live/6e7c1559e35efd2861084c3.desktop-gallery-large.jpg
Honda,CR-V,2009,,98000,Automatique,Essence,"7 298 000
FCFA",Yopougon,06/07,https://media.jumiadeals.com/ci_live/468541fea45f03adaa4881c.desktop-gallery-large.jpg
Peugeot,406,2000,,202000,Manuelle,Essence,"2 400 000
FCFA",Cocody,01/07,https://media.jumiadeals.com/ci_live/60bc15ee625efc91083a0c4.desktop-gallery-large.jpg
Renault,Kangoo,2005,,142000,Manuelle,Diesel,"3 950 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/a8a1b6045d5f03afcf2b130.desktop-gallery-large.jpg
Peugeot,406,2000,,202000,Manuelle,Essence,"2 400 000
FCFA",Cocody,01/07,https://media.jumiadeals.com/ci_live/60bc15ee625efc91083a0c4.desktop-gallery-large.jpg
BMW,X3,2006,,,Automatique,Essence,"4 700 000
FCFA",Yopougon,06/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
Land rover,Range Rover,2014,,121000,Automatique,Essence,"12 500 000
FCFA",Angré,07/07,https://media.jumiadeals.com/ci_live/ef73886a445f03bc81df641.desktop-gallery-large.jpg
BMW,X3,2006,,,Automatique,Essence,"4 700 000
FCFA",Yopougon,06/07,https://media.jumiadeals.com/ci_live/57408327195f03ad1676350.desktop-gallery-large.jpg
Toyota,Corolla,2001,,,Manuelle,Essence,"2 394 000
FCFA",Yopougon,06/07,https://media.jumiadeals.com/ci_live/55a416b27f5f02fed869f8f.desktop-gallery-large.jpg
Toyota,Avensis,2004,,121000,Manuelle,Essence,"3 000 000
FCFA",Angré,07/07,https://media.jumiadeals.com/ci_live/a0c52f99af5f03bb96b67b8.desktop-gallery-large.jpg
Toyota,Corolla,2002,,120000,Automatique,Essence,"4 600 000
FCFA",2 Plateaux,06/07,https://media.jumiadeals.com/ci_live/f4783be8bf5f03b6b5d0381.desktop-gallery-large.jpg
BMW,3,2001,,147000,Manuelle,Essence,"3 250 000
FCFA",Yopougon,03/07,https://media.jumiadeals.com/ci_live/d97afa02625eff596473e3e.desktop-gallery-large.jpg
Hyundai,Tucson,2015,,41000,Automatique,Essence,"12 500 000
FCFA",Angré,06/07,https://media.jumiadeals.com/ci_live/9935d014f65f035764a9245.desktop-gallery-large.jpg
Toyota,Corolla,2001,,,Manuelle,Essence,"2 394 000
FCFA",Yopougon,06/07,https://media.jumiadeals.com/ci_live/3a8bf122e75f02febff2e65.desktop-gallery-large.jpg
Toyota,Land Cruiser,2005,,142000,Manuelle,Diesel,"3 950 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/6efe54ef6a5f03ad301deb7.desktop-gallery-large.jpg
Renault,Kadjar,2018,,27000,Automatique,Essence,"13 800 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/2b7ed0ca385f03ad4e7c1e0.desktop-gallery-large.jpg
Peugeot,406,2000,,230,Manuelle,Essence,"2 000 000
FCFA",Abobo,04/07,https://media.jumiadeals.com/ci_live/f2198d98415f00d1302b719.desktop-gallery-large.jpg
Hyundai,Santa Fe,2009,,,Automatique,Essence,"8 000 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/ef04c4d3ef5f03abbfe5817.desktop-gallery-large.jpg
BMW,3,2001,,147000,Manuelle,Essence,"3 250 000
FCFA",Yopougon,03/07,https://media.jumiadeals.com/ci_live/d97afa02625eff596473e3e.desktop-gallery-large.jpg
BMW,5,2015,,,Automatique,Essence,"3 600 000
FCFA",Yopougon,06/07,https://media.jumiadeals.com/ci_live/cf201b75c25f03aa4dc4989.desktop-gallery-large.jpg
Hyundai,Santa Fe,2017,,24000,Automatique,Essence,"16 500 000
FCFA",Anyama,03/07,https://media.jumiadeals.com/ci_live/7e6b5e457b5eff74248a2cb.desktop-gallery-large.jpg
Peugeot,406,2000,,230,Manuelle,Essence,"2 000 000
FCFA",Abobo,04/07,https://media.jumiadeals.com/ci_live/f2198d98415f00d1302b719.desktop-gallery-large.jpg
BMW,X3,2006,,121000,Automatique,Essence,"6 200 000
FCFA",Angré,07/07,https://media.jumiadeals.com/ci_live/27e80858ed5f03bd5aa3e4d.desktop-gallery-large.jpg
Peugeot,406,2007,,28000,Manuelle,Essence,"1 500 000
FCFA",Abidjan,06/07,https://media.jumiadeals.com/ci_live/fa6fe026515f03b4bec1c43.desktop-gallery-large.jpg
Toyota,Avensis,2002,,110000,Manuelle,Diesel,"1 300 000
FCFA",Yopougon,07/07,https://media.jumiadeals.com/ci_live/90ecbb349c5f03c009d3282.desktop-gallery-large.jpg
Peugeot,406,2000,,230,Manuelle,Essence,"2 000 000
FCFA",Abobo,04/07,https://media.jumiadeals.com/ci_live/f2198d98415f00d1302b719.desktop-gallery-large.jpg
Peugeot,406,2000,,202000,Manuelle,Essence,"2 400 000
FCFA",Cocody,01/07,https://media.jumiadeals.com/ci_live/60bc15ee625efc91083a0c4.desktop-gallery-large.jpg
Honda,CR-V,2017,,84000,Automatique,Essence,"13 500 000
FCFA",Cocody,06/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
Nissan,Harbody,2008,,132000,Manuelle,Diesel,"3 950 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/49e267335a5f03ae0c7f414.desktop-gallery-large.jpg
Renault,Laguna,2001,,177000,Automatique,Essence,"1 595 000
FCFA",Yopougon,06/07,https://media.jumiadeals.com/ci_live/08ca29b6c05f030f657b4f3.desktop-gallery-large.jpg
Honda,CR-V,2017,,84000,Automatique,Essence,"13 500 000
FCFA",Cocody,06/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
Suzuki,Alto,2018,,120000,Manuelle,Essence,"3 400 000
FCFA",Angré,06/07,https://media.jumiadeals.com/ci_live/e659eb7afc5f0300766f436.desktop-gallery-large.jpg
Hyundai,Santa Fe,2017,,24000,Automatique,Essence,"16 500 000
FCFA",Anyama,03/07,https://media.jumiadeals.com/ci_live/7e6b5e457b5eff74248a2cb.desktop-gallery-large.jpg
BMW,Série 3,2002,,138000,Manuelle,Essence,"2 788 000
FCFA",Marcory,06/07,https://media.jumiadeals.com/ci_live/3f3a372abb5f01bd9c38318.desktop-gallery-large.jpg
Mercedes,C -class,2008,,,Automatique,Essence,"6 650 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/d62d2a7ed95f03aa04c530a.desktop-gallery-large.jpg
Peugeot,406,2000,,202000,Manuelle,Essence,"2 400 000
FCFA",Cocody,01/07,https://media.jumiadeals.com/ci_live/60bc15ee625efc91083a0c4.desktop-gallery-large.jpg
Peugeot,406,2000,,202000,Manuelle,Essence,"2 400 000
FCFA",Cocody,01/07,https://media.jumiadeals.com/ci_live/60bc15ee625efc91083a0c4.desktop-gallery-large.jpg
Peugeot,406,2000,,230,Manuelle,Essence,"2 000 000
FCFA",Abobo,04/07,https://media.jumiadeals.com/ci_live/f2198d98415f00d1302b719.desktop-gallery-large.jpg
Mercedes,C -class,2018,,5000,Automatique,Essence,"22 498 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/ecc8d9eed35f03a42118a17.desktop-gallery-large.jpg
Mazda,3 MPS,2016,,56000,Automatique,Essence,"11 800 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/420750c06c5f03aa22ea5da.desktop-gallery-large.jpg
Hyundai,Tucson,2015,,41000,Automatique,Essence,"12 500 000
FCFA",Angré,06/07,https://media.jumiadeals.com/ci_live/9935d014f65f035764a9245.desktop-gallery-large.jpg
Mazda,CX-7,2015,,,Automatique,Essence,"8 900 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/61a534c5145f03affde7438.desktop-gallery-large.jpg
Audi,A4,2010,,145000,Automatique,Essence,"4 350 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/75fe114b965f03abea49569.desktop-gallery-large.jpg
Hyundai,Tucson,2015,,41000,Automatique,Essence,"12 500 000
FCFA",Angré,06/07,https://media.jumiadeals.com/ci_live/9935d014f65f035764a9245.desktop-gallery-large.jpg
Mazda,323,2003,,132000,Automatique,Essence,"2 750 000
FCFA",Cocody,06/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
Ford,Explorer,2013,,0000,Automatique,Essence,"11 450 000
FCFA",Cocody,06/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
Nissan,Primera,2000,,142000,Manuelle,Essence,"1 000 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/1b5719d1c35f03aab0e9d91.desktop-gallery-large.jpg
Nissan,Primera,2000,,142000,Manuelle,Essence,"1 000 000
FCFA",Cocody,06/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
Mazda,CX-7,2008,,107000,Automatique,Essence,"4 500 000
FCFA",Riviera,05/07,https://media.jumiadeals.com/ci_live/98f53d394f5f0247843c223.desktop-gallery-large.jpg
Chevrolet,Epica,2009,,113000,Manuelle,Essence,"3 800 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/25e9e8efb95f03a91ad8e82.desktop-gallery-large.jpg
Hyundai,Santa Fe,2017,,24000,Automatique,Essence,"16 500 000
FCFA",Anyama,03/07,https://media.jumiadeals.com/ci_live/7e6b5e457b5eff74248a2cb.desktop-gallery-large.jpg
Suzuki,Alto,2018,,93000,Manuelle,Essence,"3 500 000
FCFA",Yopougon,06/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
Ford,Focus,2001,,180000,Automatique,Essence,"3 300 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/bf88deec1b5f03a45dc8a70.desktop-gallery-large.jpg
Volvo,XC90,2005,,107000,Automatique,Essence,"7 000 000
FCFA",Cocody,06/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
Hyundai,Santa Fe,2009,,,Automatique,Essence,"8 000 000
FCFA",Cocody,06/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
BMW,3,2001,,147000,Manuelle,Essence,"3 250 000
FCFA",Yopougon,03/07,https://media.jumiadeals.com/ci_live/d97afa02625eff596473e3e.desktop-gallery-large.jpg
Mitsubishi,Colt,2001,,132000,Manuelle,Essence,"1 850 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/10b61bd8da5f03a8f464477.desktop-gallery-large.jpg
Renault,Duster,2016,,61000,Manuelle,Essence,"6 000 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/53b533277a5f03a47a965b1.desktop-gallery-large.jpg
Great Wall,Haval H9,2017,,37000,Automatique,Essence,"16 500 000
FCFA",Abidjan,01/07,https://media.jumiadeals.com/ci_live/cf10c88aed5ef1d63a2f284.desktop-gallery-large.jpg
Mercedes,C -class,2018,,5000,Automatique,Essence,"22 498 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/75fea0e9655f03a36aa2718.desktop-gallery-large.jpg
Peugeot,406,2001,,158000,Manuelle,Essence,"2 492 000
FCFA",Yopougon,06/07,https://media.jumiadeals.com/ci_live/cde5ff08415f03a9daf3b1a.desktop-gallery-large.jpg
Honda,Civic,2007,,132000,Automatique,Essence,"3 700 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/065c6c2e505f03a7feb4113.desktop-gallery-large.jpg
Mazda,CX-7,2008,,107000,Automatique,Essence,"4 500 000
FCFA",Riviera,05/07,https://media.jumiadeals.com/ci_live/98f53d394f5f0247843c223.desktop-gallery-large.jpg
Hyundai,Tucson,2015,,110000,Automatique,Essence,"9 893 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/e355c49c2f5f03949c83450.desktop-gallery-large.jpg
Suzuki,Alto,2018,,93000,Manuelle,Essence,"3 500 000
FCFA",Yopougon,06/07,https://media.jumiadeals.com/ci_live/f3a5152a0d5f03a7526e560.desktop-gallery-large.jpg
Hyundai,Santa Fe,2017,,24000,Automatique,Essence,"16 500 000
FCFA",Anyama,03/07,https://media.jumiadeals.com/ci_live/7e6b5e457b5eff74248a2cb.desktop-gallery-large.jpg
BMW,E30,2006,,,Manuelle,Essence,"3 500 000
FCFA",Yopougon,06/07,https://media.jumiadeals.com/ci_live/4d8254962e5f03aa18b30f5.desktop-gallery-large.jpg
Honda,CR-V,2016,,29000,,,"13 000 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/2e7c363ad25f03a9e643348.desktop-gallery-large.jpg
Suzuki,Alto,2018,,120000,Manuelle,Essence,"3 400 000
FCFA",Angré,06/07,https://media.jumiadeals.com/ci_live/e659eb7afc5f0300766f436.desktop-gallery-large.jpg
Ford,Focus RS,2005,,205000,,Essence,"2 650 000
FCFA",Yopougon,06/07,https://media.jumiadeals.com/ci_live/c03669112b5f03aa10d768e.desktop-gallery-large.jpg
Peugeot,406,2000,,202000,Manuelle,Essence,"2 400 000
FCFA",Cocody,01/07,https://media.jumiadeals.com/ci_live/60bc15ee625efc91083a0c4.desktop-gallery-large.jpg
Chevrolet,Cruze,2013,,,Manuelle,Essence,"4 850 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/c077e3e8b75f03a6616d655.desktop-gallery-large.jpg
BMW,Série 3,2002,,138000,Manuelle,Essence,"2 788 000
FCFA",Marcory,06/07,https://media.jumiadeals.com/ci_live/f361dce0e95f01bd9b0031e.desktop-gallery-large.jpg
Toyota,Corolla,2000,,215000,Manuelle,Essence,"2 800 000
FCFA",Le Plateau,06/07,https://media.jumiadeals.com/ci_live/5cad4b9fab5f0424d6a4144.desktop-gallery-large.jpg
Mazda,3 MPS,2016,,56000,Automatique,Essence,"11 800 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/420750c06c5f03aa22ea5da.desktop-gallery-large.jpg
Mazda,5,2014,,53000,,,"9 500 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/fef497b5c35f03a75f3c28a.desktop-gallery-large.jpg
,,,,,,,"50 000
FCFA",Angré,02/07,https://media.jumiadeals.com/ci_live/474ca2a6e55f047acb98d2c.desktop-gallery-large.jpg
Kia,Rio,2016,,3,Automatique,Essence,"7 250 000
FCFA",Yopougon,06/07,https://media.jumiadeals.com/ci_live/b0fb6e9e765f03a4d8e11c0.desktop-gallery-large.jpg
Peugeot,406,2001,,158000,Manuelle,Essence,"2 495 000
FCFA",Yopougon,06/07,https://media.jumiadeals.com/ci_live/c70c305e305f03327d7135a.desktop-gallery-large.jpg
Toyota,Yaris,2016,,3,Automatique,Essence,"7 250 000
FCFA",Yopougon,06/07,https://media.jumiadeals.com/ci_live/6266b15d485f039bdb9e8b7.desktop-gallery-large.jpg
BMW,X3,2006,,190000,Automatique,Essence,"4 045 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/4b2a2ac9125f034de8a60d0.desktop-gallery-large.jpg
Peugeot,406,2002,,150,Manuelle,Essence,"2 700 000
FCFA",Angré,06/07,https://media.jumiadeals.com/ci_live/15dbfb7c285f03989abdeda.desktop-gallery-large.jpg
Mini,Cooper,2003,,,Manuelle,Essence,"3 300 000
FCFA",Marcory,06/07,https://media.jumiadeals.com/ci_live/3abb7fc22f5f039b680b2d5.desktop-gallery-large.jpg
Audi,A4,2010,,146000,Automatique,Essence,"4 500 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/3bb9fb6bc95f03a6bb3750a.desktop-gallery-large.jpg
Mercedes,E -class,2010,,63000,Automatique,Essence,"11 000 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/1c3fb847e05f047a2f10817.desktop-gallery-large.jpg
Peugeot,406,2000,,202000,Manuelle,Essence,"2 400 000
FCFA",Cocody,01/07,https://media.jumiadeals.com/ci_live/60bc15ee625efc91083a0c4.desktop-gallery-large.jpg
Kia,Sportage,2008,,,Automatique,Essence,"5 500 000
FCFA",Koumassi,06/07,https://media.jumiadeals.com/ci_live/4456c018ef5f03d1c892ac1.desktop-gallery-large.jpg
Ford,Explorer,2013,,0000,Automatique,Essence,"11 450 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/345cb2610b5f03a3cc50020.desktop-gallery-large.jpg
Ford,Edge,2008,,168000,Automatique,Essence,"5 488 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/e1a665e9055f0346f6e58ce.desktop-gallery-large.jpg
BMW,3,2001,,147000,Manuelle,Essence,"3 250 000
FCFA",Yopougon,03/07,https://media.jumiadeals.com/ci_live/d97afa02625eff596473e3e.desktop-gallery-large.jpg
Peugeot,406,2002,,150,Manuelle,Essence,"2 700 000
FCFA",Angré,06/07,https://media.jumiadeals.com/ci_live/b2f165af845f0396f56da65.desktop-gallery-large.jpg
Hyundai,Tucson,2015,,41000,Automatique,Essence,"12 500 000
FCFA",Angré,06/07,https://media.jumiadeals.com/ci_live/9935d014f65f035764a9245.desktop-gallery-large.jpg
Hyundai,Santa Fe,2017,,24000,Automatique,Essence,"16 500 000
FCFA",Anyama,03/07,https://media.jumiadeals.com/ci_live/7e6b5e457b5eff74248a2cb.desktop-gallery-large.jpg
Audi,A4,2007,,,Automatique,Essence,"2 350 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/69d0239e4d5f034b847b7d0.desktop-gallery-large.jpg
Mazda,CX-7,2016,,3,Automatique,Essence,"10 500 000
FCFA",Yopougon,06/07,https://media.jumiadeals.com/ci_live/abf028d58e5f03a3c5259fe.desktop-gallery-large.jpg
Mitsubishi,L200,2004,,,Manuelle,Diesel,"4 500 000
FCFA",Abobo,06/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
Suzuki,Alto,2018,,120000,Manuelle,Essence,"3 400 000
FCFA",Angré,06/07,https://media.jumiadeals.com/ci_live/e659eb7afc5f0300766f436.desktop-gallery-large.jpg
BMW,Série 3,2001,,,Manuelle,Essence,"1 588 000
FCFA",Le Plateau,06/07,https://media.jumiadeals.com/ci_live/d6371f20b55f039f7b64c40.desktop-gallery-large.jpg
Toyota,Hilux,2016,,105000,Manuelle,Diesel,"13 000 000
FCFA",Angré,06/07,https://media.jumiadeals.com/ci_live/8dbc8a71cf5f039bb67f65a.desktop-gallery-large.jpg
Toyota,Corolla,2000,,150,Manuelle,Essence,"2 400 000
FCFA",Angré,06/07,https://media.jumiadeals.com/ci_live/260c7a71535f03956ac35a4.desktop-gallery-large.jpg
Peugeot,406,2000,,202000,Manuelle,Essence,"2 400 000
FCFA",Cocody,01/07,https://media.jumiadeals.com/ci_live/60bc15ee625efc91083a0c4.desktop-gallery-large.jpg
Mazda,CX-9,2015,,79000,Automatique,Essence,"12 700 000
FCFA",Angré,06/07,https://media.jumiadeals.com/ci_live/62795e262f5f039b4b8a622.desktop-gallery-large.jpg
Mercedes,A -class,1998,,0000,Automatique,Essence,"1 350 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/9804c6976d5f0399ca75641.desktop-gallery-large.jpg
Peugeot,406,2000,,230,Manuelle,Essence,"2 000 000
FCFA",Abobo,04/07,https://media.jumiadeals.com/ci_live/f2198d98415f00d1302b719.desktop-gallery-large.jpg
Hyundai,Santa Fe,2017,,24000,Automatique,Essence,"16 500 000
FCFA",Anyama,03/07,https://media.jumiadeals.com/ci_live/7e6b5e457b5eff74248a2cb.desktop-gallery-large.jpg
Ford,Edge,2008,,168000,Automatique,Essence,"5 488 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/1b438580305f0346fc125e6.desktop-gallery-large.jpg
Ford,Edge,2010,,3,Automatique,Essence,"8 500 000
FCFA",Yopougon,06/07,https://media.jumiadeals.com/ci_live/342816a0c25f0396df12bf8.desktop-gallery-large.jpg
Hyundai,Elantra,2018,,58345,Automatique,Essence,"11 300 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/e53e6d74f45f039f46b1828.desktop-gallery-large.jpg
BMW,X3,2006,,190000,Automatique,Essence,"4 040 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/b10a0d39575f034deb9056f.desktop-gallery-large.jpg
Hyundai,Santa Fe,2016,,38000,Automatique,Essence,"16 300 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/6ed61ced495f03a1f79cb30.desktop-gallery-large.jpg
Great Wall,Haval H9,2017,,37000,Automatique,Essence,"16 500 000
FCFA",Abidjan,01/07,https://media.jumiadeals.com/ci_live/cf10c88aed5ef1d63a2f284.desktop-gallery-large.jpg
Mazda,CX-7,2008,,107000,Automatique,Essence,"4 500 000
FCFA",Riviera,05/07,https://media.jumiadeals.com/ci_live/98f53d394f5f0247843c223.desktop-gallery-large.jpg
BMW,3,2001,,147000,Manuelle,Essence,"3 250 000
FCFA",Yopougon,03/07,https://media.jumiadeals.com/ci_live/d97afa02625eff596473e3e.desktop-gallery-large.jpg
Mini,Cooper,2003,,,Manuelle,Essence,"3 300 000
FCFA",Marcory,06/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
Hyundai,Santa Fe,2008,,3,Automatique,Essence,"6 000 000
FCFA",Yopougon,06/07,https://media.jumiadeals.com/ci_live/2eca38e20b5f0397aaa7d1f.desktop-gallery-large.jpg
Hyundai,Santa Fe,2015,,,Automatique,Essence,"11 000 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/eb88e297165f039b7e6c9d8.desktop-gallery-large.jpg
Kia,Sportage,2007,,,Automatique,Essence,"4 500 000
FCFA",Abobo,06/07,https://media.jumiadeals.com/ci_live/174d88e8bf5f039bcb95493.desktop-gallery-large.jpg
Ford,Edge,2008,,168000,Automatique,Essence,"5 488 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/0211e6cdf45f039c004ba41.desktop-gallery-large.jpg
Suzuki,Alto,2018,,120000,Manuelle,Essence,"3 400 000
FCFA",Angré,06/07,https://media.jumiadeals.com/ci_live/e659eb7afc5f0300766f436.desktop-gallery-large.jpg
Peugeot,406,2000,,202000,Manuelle,Essence,"2 400 000
FCFA",Cocody,01/07,https://media.jumiadeals.com/ci_live/60bc15ee625efc91083a0c4.desktop-gallery-large.jpg
Ford,Focus,2003,,,Manuelle,Essence,"2 698 000
FCFA",Yopougon,06/07,https://media.jumiadeals.com/ci_live/a44a77d8935effa2b8bdfa3.desktop-gallery-large.jpg
Hyundai,Tucson,2015,,41000,Automatique,Essence,"12 500 000
FCFA",Angré,06/07,https://media.jumiadeals.com/ci_live/9935d014f65f035764a9245.desktop-gallery-large.jpg
BMW,3,2001,,147000,Manuelle,Essence,"3 250 000
FCFA",Yopougon,03/07,https://media.jumiadeals.com/ci_live/d97afa02625eff596473e3e.desktop-gallery-large.jpg
Mercedes,C -class,2011,,0000,Automatique,Essence,"8 000 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/5394f5091d5f03a1f9091ec.desktop-gallery-large.jpg
Audi,A4,2007,,,Automatique,Essence,"2 340 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/69d0239e4d5f034b845fa33.desktop-gallery-large.jpg
Peugeot,406,2000,,202000,Manuelle,Essence,"2 400 000
FCFA",Cocody,01/07,https://media.jumiadeals.com/ci_live/60bc15ee625efc91083a0c4.desktop-gallery-large.jpg
BMW,3,2001,,147000,Manuelle,Essence,"3 250 000
FCFA",Yopougon,03/07,https://media.jumiadeals.com/ci_live/d97afa02625eff596473e3e.desktop-gallery-large.jpg
Renault,Megane,2001,,,Manuelle,Essence,"1 800 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/f5574f55c05f03957c41d85.desktop-gallery-large.jpg
Hyundai,ix35,2018,,18000,Automatique,Essence,"11 500 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/55f4bff67b5f0395893f2fc.desktop-gallery-large.jpg
Hyundai,Santa Fe,2014,,40123,Automatique,Essence,"16 000 000
FCFA",Yopougon,06/07,https://media.jumiadeals.com/ci_live/aad859b47d5f0387370e603.desktop-gallery-large.jpg
Ford,Explorer,2008,,,Automatique,Essence,"7 500 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/690b770b815f038a7c55c4e.desktop-gallery-large.jpg
Mercedes,CLK -class,2003,,,Automatique,Essence,"2 900 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/6c24006fac5f039462da27c.desktop-gallery-large.jpg
Mercedes,C -class,2005,,140,Automatique,Essence,"1 500 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/1a2874bbc45f038d77a1fc1.desktop-gallery-large.jpg
Peugeot,307,2004,,0001,Manuelle,Essence,"2 800 000
FCFA",Abobo,06/07,https://media.jumiadeals.com/ci_live/bbfc05e5f15f0393d27b31c.desktop-gallery-large.jpg
Great Wall,Haval H9,2017,,37000,Automatique,Essence,"16 500 000
FCFA",Abidjan,01/07,https://media.jumiadeals.com/ci_live/cf10c88aed5ef1d63a2f284.desktop-gallery-large.jpg
Peugeot,406,2000,,230,Manuelle,Essence,"2 000 000
FCFA",Abobo,04/07,https://media.jumiadeals.com/ci_live/f2198d98415f00d1302b719.desktop-gallery-large.jpg
Peugeot,406,2005,,1,Manuelle,Essence,"1 850 000
FCFA",Yopougon,06/07,https://media.jumiadeals.com/ci_live/dce354ef795f03938e0bc63.desktop-gallery-large.jpg
Hyundai,Tucson,2015,,110000,Automatique,Essence,"9 893 000
FCFA",Marcory,06/07,https://media.jumiadeals.com/ci_live/7e597538bd5f03949a9fc41.desktop-gallery-large.jpg
Kia,Sportage,2004,,,Automatique,Essence,"5 500 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/b5f86e9e055f0393017eea2.desktop-gallery-large.jpg
Toyota,Corolla,2002,,150,Manuelle,Essence,"2 450 000
FCFA",Angré,06/07,https://media.jumiadeals.com/ci_live/45fb0dda785f0393d060cc1.desktop-gallery-large.jpg
Hyundai,Santa Fe,2017,,24000,Automatique,Essence,"16 500 000
FCFA",Anyama,03/07,https://media.jumiadeals.com/ci_live/7e6b5e457b5eff74248a2cb.desktop-gallery-large.jpg
Toyota,RAV4,2001,,,Automatique,Essence,"4 000 000
FCFA",Abobo,06/07,https://media.jumiadeals.com/ci_live/9d389bd91e5f041f8857a6b.desktop-gallery-large.jpg
Great Wall,Haval H9,2017,,37000,Automatique,Essence,"16 500 000
FCFA",Abidjan,01/07,https://media.jumiadeals.com/ci_live/cf10c88aed5ef1d63a2f284.desktop-gallery-large.jpg
BMW,3,2001,,147000,Manuelle,Essence,"3 250 000
FCFA",Yopougon,03/07,https://media.jumiadeals.com/ci_live/d97afa02625eff596473e3e.desktop-gallery-large.jpg
Toyota,Corolla,1999,,,Manuelle,Diesel,"3 000 000
FCFA",Abobo,06/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
